BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	time	treatment	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	source_name	tissue
SAMN04251873	SRX1423959	2015-11-20	3412	2165	SRR2931065	SRS1156696	GSM1933371	Azuenca (AZ; IRGC#328, Japonica)	210 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251874	SRX1423960	2015-11-20	3791	2628	SRR2931066	SRS1156697	GSM1933372	Azuenca (AZ; IRGC#328, Japonica)	210 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251848	SRX1423934	2015-11-20	4016	2738	SRR2931040	SRS1156722	GSM1933346	Azuenca (AZ; IRGC#328, Japonica)	15 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251849	SRX1423935	2015-11-20	5202	3652	SRR2931041	SRS1156721	GSM1933347	Azuenca (AZ; IRGC#328, Japonica)	15 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251850	SRX1423936	2015-11-20	4053	2719	SRR2931042	SRS1156718	GSM1933348	Azuenca (AZ; IRGC#328, Japonica)	30 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251875	SRX1423961	2015-11-20	3037	1916	SRR2931067	SRS1156695	GSM1933373	Azuenca (AZ; IRGC#328, Japonica)	225 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251876	SRX1423962	2015-11-20	2815	1892	SRR2931068	SRS1156694	GSM1933374	Azuenca (AZ; IRGC#328, Japonica)	225 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251877	SRX1423963	2015-11-20	3328	2294	SRR2931069	SRS1156693	GSM1933375	Azuenca (AZ; IRGC#328, Japonica)	225 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251878	SRX1423964	2015-11-20	4301	2767	SRR2931070	SRS1156691	GSM1933376	Azuenca (AZ; IRGC#328, Japonica)	240 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251879	SRX1423965	2015-11-20	4030	2566	SRR2931071	SRS1156692	GSM1933377	Azuenca (AZ; IRGC#328, Japonica)	270 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251880	SRX1423966	2015-11-20	4574	2961	SRR2931072	SRS1156690	GSM1933378	Azuenca (AZ; IRGC#328, Japonica)	270 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251881	SRX1423967	2015-11-20	3266	2045	SRR2931073	SRS1156688	GSM1933379	Azuenca (AZ; IRGC#328, Japonica)	300 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251882	SRX1423968	2015-11-20	2853	1820	SRR2931074	SRS1156689	GSM1933380	Azuenca (AZ; IRGC#328, Japonica)	300 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251883	SRX1423969	2015-11-20	3097	1956	SRR2931075	SRS1156687	GSM1933381	Azuenca (AZ; IRGC#328, Japonica)	15 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251884	SRX1423970	2015-11-20	3106	1922	SRR2931076	SRS1156686	GSM1933382	Azuenca (AZ; IRGC#328, Japonica)	15 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251885	SRX1423971	2015-11-20	5413	3400	SRR2931077	SRS1156684	GSM1933383	Azuenca (AZ; IRGC#328, Japonica)	30 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251886	SRX1423972	2015-11-20	2570	1605	SRR2931078	SRS1156685	GSM1933384	Azuenca (AZ; IRGC#328, Japonica)	30 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251887	SRX1423973	2015-11-20	3482	2428	SRR2931079	SRS1156683	GSM1933385	Azuenca (AZ; IRGC#328, Japonica)	45 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251888	SRX1423974	2015-11-20	1679	1123	SRR2931080	SRS1156682	GSM1933386	Azuenca (AZ; IRGC#328, Japonica)	45 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251889	SRX1423975	2015-11-20	4650	3021	SRR2931081	SRS1156681	GSM1933387	Azuenca (AZ; IRGC#328, Japonica)	60 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251890	SRX1423976	2015-11-20	1782	1159	SRR2931082	SRS1156680	GSM1933388	Azuenca (AZ; IRGC#328, Japonica)	60 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251891	SRX1423977	2015-11-20	3085	2053	SRR2931083	SRS1156678	GSM1933389	Azuenca (AZ; IRGC#328, Japonica)	75 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251892	SRX1423978	2015-11-20	5362	3636	SRR2931084	SRS1156679	GSM1933390	Azuenca (AZ; IRGC#328, Japonica)	75 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251893	SRX1423979	2015-11-20	2069	1344	SRR2931085	SRS1156677	GSM1933391	Azuenca (AZ; IRGC#328, Japonica)	90 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251894	SRX1423980	2015-11-20	1173	768	SRR2931086	SRS1156676	GSM1933392	Azuenca (AZ; IRGC#328, Japonica)	90 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251895	SRX1423981	2015-11-20	3743	2434	SRR2931087	SRS1156675	GSM1933393	Azuenca (AZ; IRGC#328, Japonica)	105 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251896	SRX1423982	2015-11-20	5127	3454	SRR2931088	SRS1156674	GSM1933394	Azuenca (AZ; IRGC#328, Japonica)	105 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251897	SRX1423983	2015-11-20	2089	1315	SRR2931089	SRS1156673	GSM1933395	Azuenca (AZ; IRGC#328, Japonica)	120 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251898	SRX1423984	2015-11-20	2103	1314	SRR2931090	SRS1156672	GSM1933396	Azuenca (AZ; IRGC#328, Japonica)	120 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251899	SRX1423985	2015-11-20	3111	2043	SRR2931091	SRS1156671	GSM1933397	Azuenca (AZ; IRGC#328, Japonica)	135 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251900	SRX1423986	2015-11-20	2639	1765	SRR2931092	SRS1156668	GSM1933398	Azuenca (AZ; IRGC#328, Japonica)	135 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251901	SRX1423987	2015-11-20	3479	2251	SRR2931093	SRS1156669	GSM1933399	Azuenca (AZ; IRGC#328, Japonica)	150 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251902	SRX1423988	2015-11-20	3913	2453	SRR2931094	SRS1156670	GSM1933400	Azuenca (AZ; IRGC#328, Japonica)	150 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251903	SRX1423989	2015-11-20	3436	2227	SRR2931095	SRS1156667	GSM1933401	Azuenca (AZ; IRGC#328, Japonica)	165 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251964	SRX1423990	2015-11-20	4551	3068	SRR2931096	SRS1156666	GSM1933402	Azuenca (AZ; IRGC#328, Japonica)	165 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251965	SRX1423991	2015-11-20	1869	1210	SRR2931097	SRS1156664	GSM1933403	Azuenca (AZ; IRGC#328, Japonica)	180 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251966	SRX1423992	2015-11-20	4535	2966	SRR2931098	SRS1156665	GSM1933404	Azuenca (AZ; IRGC#328, Japonica)	180 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251967	SRX1423993	2015-11-20	3719	2369	SRR2931099	SRS1156663	GSM1933405	Azuenca (AZ; IRGC#328, Japonica)	195 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251968	SRX1423994	2015-11-20	2886	1880	SRR2931100	SRS1156662	GSM1933406	Azuenca (AZ; IRGC#328, Japonica)	195 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251969	SRX1423995	2015-11-20	3895	2417	SRR2931101	SRS1156659	GSM1933407	Azuenca (AZ; IRGC#328, Japonica)	210 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251970	SRX1423996	2015-11-20	4381	2969	SRR2931102	SRS1156660	GSM1933408	Azuenca (AZ; IRGC#328, Japonica)	210 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251971	SRX1423997	2015-11-20	3405	2195	SRR2931103	SRS1156661	GSM1933409	Azuenca (AZ; IRGC#328, Japonica)	225 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251972	SRX1423998	2015-11-20	3542	2208	SRR2931104	SRS1156658	GSM1933410	Azuenca (AZ; IRGC#328, Japonica)	225 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251973	SRX1423999	2015-11-20	1691	1059	SRR2931105	SRS1156657	GSM1933411	Azuenca (AZ; IRGC#328, Japonica)	240 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251974	SRX1424000	2015-11-20	4306	2904	SRR2931106	SRS1156656	GSM1933412	Azuenca (AZ; IRGC#328, Japonica)	240 min	HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251975	SRX1424001	2015-11-20	3558	2239	SRR2931107	SRS1156655	GSM1933413	Azuenca (AZ; IRGC#328, Japonica)	135 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251976	SRX1424002	2015-11-20	3911	2549	SRR2931108	SRS1156654	GSM1933414	Azuenca (AZ; IRGC#328, Japonica)	135 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251977	SRX1424003	2015-11-20	3885	2699	SRR2931109	SRS1156653	GSM1933415	Azuenca (AZ; IRGC#328, Japonica)	150 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
